Submission_Id,Problem Name,User_Rating,User_Name,Tags,Tags_n,Problem_Rating,,,,,
147975043,792CDivide by Three,964,michaelmonir,"['dp', 'greedy', 'math', 'number theory']","['dp', 'greedy', 'math', 'number theory']",2000,,,,,
147975042,160ATwins,613,ashu012002,"['greedy', 'sortings']","['greedy', 'sortings']",900,,,,,
147975039,243AThe Brand New Function,,seashore,['bitmasks'],['bitmasks'],1600,,,,,
147975038,1635CDifferential Sorting,1221,amanverma21,"['constructive algorithms', 'greedy']","['constructive algorithms', 'greedy']",1200,,,,,
147975037,189ACut Ribbon,1141,adityagoyal,"['brute force', 'dp']","['brute force', 'dp']",1300,,,,,
147975036,312BArcher,974,Cal_Cifer,"['math', 'probabilities']","['math', 'probabilities']",1300,,,,,
147975035,1594DThe Number of Imposters,1082,original_name153,"['constructive algorithms', 'dfs and similar', 'dp', 'dsu', 'graphs']","['constructive algorithms', 'dfs and similar', 'dp', 'dsu', 'graphs']",1700,,,,,
147975033,1029DConcatenated Multiples,2101,Ruki,"['implementation', 'math']","['implementation', 'math']",1900,,,,,
147975032,225ADice Tower,,Elkfafy,"['constructive algorithms', 'greedy']","['constructive algorithms', 'greedy']",1100,,,,,
147975031,1335ACandies and Two Sisters,,divyanshi_agarwal,['math'],['math'],800,,,,,
147975029,1421DHexagons,1687,Hiranmoy,"['brute force', 'constructive algorithms', 'greedy', 'implementation', 'math', 'shortest paths']","['brute force', 'constructive algorithms', 'greedy', 'implementation', 'math', 'shortest paths']",1900,,,,,
147975027,339AHelpful Maths,,The_CodeFather,"['greedy', 'implementation', 'sortings', 'strings']","['greedy', 'implementation', 'sortings', 'strings']",800,,,,,
147975026,4AWatermelon,,mo_gh,"['brute force', 'math']","['brute force', 'math']",800,,,,,
147975025,1333ALittle Artem,1313,wKai000,['constructive algorithms'],['constructive algorithms'],1000,,,,,
147975024,99BHelp Chef Gerasim,1218,purushottam_1048,"['implementation', 'sortings']","['implementation', 'sortings']",1300,,,,,
