Submission_Id,User_Rating,User_Name,Tags,Problem_Rating,Implementation,Maths,Greedy,dp,Sorting,Bitmasks,Constructive Algo,Data Structure,Brute force,Graph,Binary Search,dfs and similar,Trees,String,Number Theory,Combinatorics,Geometry,Two Pointers,dsu,Shortest Paths,Probabilities,Divide and Conquer,Hashing,Games,Flows,Interactive,Matrices,String Suffix Structures,fft,Graph Matchings,Ternary Search,Expression Parsing,Meet-in-the-Middle,2-sat,Chinese Remainder Theorem,Schedules
145659002,1110,Adityajha757,"['binary search', 'greedy', 'math', 'sortings']",800,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145659001,,Ashish__Ranjan,['math'],900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658997,1832,lemiao12,"['brute force', 'data structures', 'hashing', 'math']",,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145658996,,bkifhr6,['dp'],1900,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658995,2118,0375w,"['dp', 'greedy', 'sortings', 'two pointers']",2200,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658993,,srisurya,"['brute force', 'implementation', 'strings']",800,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658992,,vjudge3,"['constructive algorithms', 'sortings']",800,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658987,794,iberg,['implementation'],900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658989,,HumamBashir,['implementation'],1100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658988,1250,shresth_jain,"['implementation', 'math', 'sortings']",800,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658983,1391,anubhav44044,"['implementation', 'math']",1400,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658982,1028,Tushar_Aggarwal,"['brute force', 'greedy', 'implementation']",800,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658981,968,coretech_0116,"['dp', 'greedy']",1000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658980,1954,maghrabyJr_,"['combinatorics', 'dp', 'math']",2200,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658979,,cf_user82,['implementation'],800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658977,1134,jatin_026,"['binary search', 'brute force', 'implementation', 'two pointers']",1400,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658976,,Moamn_Luffy,"['brute force', 'math']",800,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658975,982,onandon,"['dfs and similar', 'dsu', 'greedy']",1200,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658972,481,Nitinjadun,"['math', 'number theory']",800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658973,1164,sugam10,"['constructive algorithms', 'graphs', 'greedy', 'sortings']",1700,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658971,358,Anand_singh32,"['brute force', 'greedy']",800,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658970,,jimw,"['brute force', 'math']",800,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658969,1418,rakshith21mohan,['implementation'],1500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658967,889,SmartMonky,"['brute force', 'implementation']",800,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145658966,671,viraj7403,"['constructive algorithms', 'sortings']",1000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
